install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
6083;8840;1369;608;580;
6206;8519;1369;608;580;
6206;8411;1369;608;580;
5941;8445;1369;608;580;
5780;8128;1369;608;580;
6258;8586;1369;608;580;
6345;8279;1369;608;580;
6292;8756;1369;608;580;
6124;8825;1369;608;580;
6003;8360;1369;608;580;
6267;8596;1369;608;580;
5843;8305;1369;608;580;
6180;8407;1369;608;580;
5888;8746;1369;608;580;
6264;8719;1369;608;580;
5979;8501;1369;608;580;
5812;8525;1369;608;580;
5969;8294;1369;608;580;
6308;8679;1369;608;580;
6085;8210;1369;608;580;
5625;8395;1369;608;580;
5837;8620;1369;608;580;
5559;8336;1369;608;580;
5606;7846;1369;608;580;
5893;8541;1369;608;580;
5977;8189;1369;608;580;
5440;8203;1369;608;580;
6044;8496;1369;608;580;
5970;8642;1369;608;580;
5929;8152;1369;608;580;
6178;8862;1369;608;580;
6011;8415;1369;608;580;
6256;8611;1369;608;580;
6289;8997;1369;608;580;
5865;8634;1369;608;580;
6056;8590;1369;608;580;
6166;8643;1369;608;580;
5898;8455;1369;608;580;
6096;8669;1369;608;580;
6196;8909;1369;608;580;
5941;8712;1369;608;580;
5789;8400;1369;608;580;
5917;8286;1369;608;580;
6055;8220;1369;608;580;
6085;8478;1369;608;580;
6085;8367;1369;608;580;
6230;8984;1369;608;580;
6023;8658;1369;608;580;
5751;8577;1369;608;580;
6074;8425;1369;608;580;
6157;8360;1369;608;580;
5849;8290;1369;608;580;
6021;8342;1369;608;580;
5888;8230;1369;608;580;
5413;8299;1369;608;580;
5447;8325;1369;608;580;
6157;8627;1369;608;580;
5753;8342;1369;608;580;
5961;8479;1369;608;580;
5895;8633;1369;608;580;
5850;8170;1369;608;580;
6170;8610;1369;608;580;
5739;8319;1369;608;580;
6475;8252;1369;608;580;
6544;8577;1369;608;580;
6181;8595;1369;608;580;
6249;8608;1369;608;580;
6548;8856;1369;608;580;
5905;8487;1369;608;580;
5886;8413;1369;608;580;
6189;8889;1369;608;580;
5637;8363;1369;608;580;
5768;8361;1369;608;580;
5739;8417;1369;608;580;
5627;8193;1369;608;580;
5792;8061;1369;608;580;
5698;8512;1369;608;580;
5982;8429;1369;608;580;
6038;8407;1369;608;580;
