svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14664;13836;14097;14458;14281;15017;15649;15680;16084;15784;15728;15540;15596;15904;15764;14742;14288;14819;15376;14911;14922;15431;15795;15685
14651;15016;14336;14073;14298;14702;15697;15604;15834;15631;15258;15688;15994;16019;15853;15195;14922;15113;14877;15204;15206;15713;15478;15296
15029;14735;14420;14059;14269;14691;15934;15600;15809;15679;15370;15251;15823;15843;15708;15072;15366;15105;14766;15147;14755;15689;15528;15885
14190;14439;14391;14943;15010;14922;15594;15633;15590;15562;15478;15513;16094;15659;15345;15393;15377;14618;14495;14646;15035;15640;15592;15730
15148;14551;14457;14939;14569;14837;15564;15181;15720;15641;15655;15641;15789;15767;15673;15166;15162;15096;15489;14930;14946;15541;15674;15974
15052;14477;15074;14890;14736;14744;15655;15215;15416;15548;15753;15790;15787;15629;15812;14534;14729;14827;15144;15068;15326;15641;15728;15698
14750;14333;13778;14792;15041;14822;15434;16023;15579;15783;15638;15908;15969;16115;15846;15085;14735;15234;14981;15328;14347;15550;15639;15514
14086;14562;14632;14837;14949;14811;15631;15846;15281;15228;15702;15344;15522;15456;15547;14784;14987;14679;15017;15028;14930;15719;15536;15514
14044;14356;14820;14488;14927;15080;15738;15616;15543;15624;15603;15587;15768;15770;15655;14703;14232;14837;15080;15122;15264;15830;15647;15869
14666;14758;14853;14433;14291;14125;15876;15563;15744;15385;15617;15817;15830;15670;15577;15165;15344;15117;15038;15389;15188;15688;15490;15432
15104;15040;14295;15030;14599;14813;15605;15364;15694;15662;15526;15268;15585;15836;15447;15277;14968;14354;14573;14757;14867;15558;15822;15645
13811;13546;13787;13890;13958;14350;15457;15576;15471;15671;15800;15871;15677;15809;15630;15190;15004;15289;14474;14426;14732;15381;15760;15490
14706;14728;14624;14863;14761;13967;15503;15253;15189;15774;15650;15552;15925;15434;15599;14818;14649;15176;14767;14784;15106;15711;15640;15786
14508;14587;14581;15003;14795;14979;15094;15139;15863;15733;15585;15713;15842;15877;15385;15266;14998;14741;15076;15465;14817;15640;15771;15796
15068;14572;14238;14699;14584;14369;15341;15379;15683;15589;15899;15653;15390;15776;15896;15069;15159;14843;15069;15142;14644;15266;15757;15447
14411;14587;14431;14523;14588;14711;15052;15074;15061;15233;15261;15170;15196;15434;15199;14015;14206;14543;13872;13913;14735;15292;15131;15126
13833;13905;13616;13789;13770;13737;15271;15138;15120;15272;15126;15336;15490;15332;15272;14022;14460;14261;14311;13892;14146;15189;15401;15241
13962;14442;13845;13946;14066;13734;15444;15116;15436;15187;15286;15232;15352;15337;15146;14187;14246;14391;14066;14261;14729;15201;15300;15319
13921;13993;13885;13943;14100;13870;15357;15107;15066;15070;15315;15242;15449;15412;15290;14455;14126;14033;14142;14144;14412;15320;15324;15044
