svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14222;14055;14308;14352;14131;14459;15311;15217;15335;15317;15249;15399;15367;15427;15289;14610;14549;14448;14578;14530;14626;15357;15514;15480
14441;14181;13926;14094;14002;14114;15424;15323;15386;15366;15220;15389;15391;15351;15512;14448;14650;14337;14427;14841;14553;15400;15382;15415
14401;13869;14356;14218;14184;14179;15347;15276;15178;15359;15260;15305;15360;15363;15391;14524;14244;14444;14854;14600;14572;15534;15500;15448
14710;13898;14121;14399;14121;14215;15322;14986;15189;15282;14930;15276;15344;15301;15511;14457;14520;14468;14583;14593;14577;15203;15482;15429
14253;14027;14046;14074;14305;14261;15313;15360;15328;15178;15276;15340;15504;15440;15399;14279;14330;14288;14403;14520;14530;15472;15359;15416
14336;14154;14045;14205;14054;14036;15216;15396;15254;15297;15233;15214;15380;15321;15288;14334;14605;14147;14610;14475;14468;15562;15304;15440
14854;14074;13854;14024;14175;14168;15419;15250;15345;15264;15128;15318;15442;15431;15504;14503;14515;14553;14372;14334;14785;15230;15412;15411
14581;14017;14053;14107;14030;14238;15199;15342;15218;15289;15153;15256;15557;15397;15485;14431;14458;14456;14427;14603;14479;15320;15300;15283
15834;14132;14096;14102;14078;14243;15452;15347;15370;15357;15444;15361;15773;15331;15154;14488;14717;14332;14619;14081;14863;15517;15361;15493
14525;14068;14177;13887;14299;14074;15404;15262;15297;15230;15175;15301;15454;15310;15355;14491;14629;14303;14643;14652;14597;15413;15478;15318
14605;14068;14175;14095;14185;13882;15452;15346;15169;13859;15283;14731;15497;15302;15517;14594;14558;14596;14105;14463;14327;15351;14926;15405
14728;14080;13979;14089;13849;14106;15323;15102;15430;15310;15161;15361;15380;15329;15504;14492;14621;14730;14498;14559;14534;15370;15364;15202
14302;14194;14130;14208;14064;14281;15239;15280;15166;15234;15155;15431;15364;15374;15387;14420;14625;13813;14648;14191;14466;15420;15302;15352
15630;14318;14171;14247;14016;13985;15286;15290;15207;15294;15212;15266;15355;15509;15419;14681;14461;14599;14412;14585;14392;15348;15287;15446
14365;14184;13983;14416;14453;14370;15324;15250;15216;15219;15266;15192;15470;15323;15428;14462;14500;14561;14497;14581;14526;15319;15384;15602
;14081;14083;13990;14150;14262;15407;15198;15258;15247;15311;15290;15379;15419;15349;14697;14677;14538;14543;14471;14643;15312;15410;15393
14427;14109;14055;14177;14345;14163;15306;15242;15230;15288;15202;15409;15422;15374;15350;14510;14349;13696;14653;14604;14500;14765;15454;15417
14355;14089;13847;14147;13919;13478;14947;15184;15151;15419;15398;15161;15274;15306;15422;14422;14294;14838;14508;14343;14345;15289;14980;15312
14617;14088;13941;14095;13950;14186;15185;15221;15304;15312;15119;15240;15352;15457;15420;14331;14422;14619;14455;14675;14644;15368;15493;15495
14401;13746;14192;14011;14141;14095;15081;15133;15150;15282;15367;15271;15351;15492;15270;14325;14300;14197;14448;14374;14231;15313;15348;15485
14379;14054;14080;14303;14008;14282;15282;15270;15185;15211;15305;15137;15606;15298;15365;14554;14304;14524;14324;14528;14472;15435;15371;15468
14690;14168;14159;14294;14251;14207;15407;15189;15343;15324;15236;15221;15452;15382;15187;14292;14565;14245;14332;14539;14835;15157;15246;15350
